Person{userID='1'| firstName='Evelyn'| lastName='Torgenson'| email='evelynt+student+academy@chalk.com'| role=Student_Junior}
Person{userID='2'| firstName='Joseph'| lastName='Sturdevant'| email='josephs+student+academy@chalk.com'| role=Student_Junior}
Person{userID='3'| firstName='Scotty'| lastName='Busch'| email='scottyb+student+academy@chalk.com'| role=Student_Junior}
Person{userID='4'| firstName='Nicky'| lastName='Busch'| email='nickyb+student+academy@chalk.com'| role=Student_Junior}
Person{userID='5'| firstName='Hilma'| lastName='Habbard'| email='hilmah+student+academy@chalk.com'| role=Student_Junior}
Person{userID='6'| firstName='Avis'| lastName='Faulcon'| email='avisf+student+academy@chalk.com'| role=Student_Junior}
Person{userID='7'| firstName='Marybeth'| lastName='Bolduc'| email='marybethb+student+academy@chalk.com'| role=Student_Junior}
Person{userID='8'| firstName='Scarlet'| lastName='Alt'| email='scarleta+student+academy@chalk.com'| role=Student_Junior}
Person{userID='9'| firstName='Rheba'| lastName='Loftin'| email='rhebal+student+academy@chalk.com'| role=Student_Junior}
Person{userID='10'| firstName='Marvel'| lastName='Alexander'| email='marvela+student+academy@chalk.com'| role=Student_Junior}
Person{userID='11'| firstName='Terri'| lastName='Robeson'| email='terrir+student+academy@chalk.com'| role=Student_Junior}
Person{userID='12'| firstName='Titus'| lastName='Seese'| email='tituss+student+academy@chalk.com'| role=Student_Senior}
Person{userID='13'| firstName='Dionne'| lastName='Heron'| email='dionneh+student+academy@chalk.com'| role=Student_Senior}
Person{userID='14'| firstName='Tanna'| lastName='Weisberg'| email='tannaw+student+academy@chalk.com'| role=Student_Senior}
Person{userID='15'| firstName='Ethel'| lastName='Kleckner'| email='ethelk+student+academy@chalk.com'| role=Student_Senior}
Person{userID='16'| firstName='Lorenza'| lastName='Waggener'| email='lorenzaw+student+academy@chalk.com'| role=Student_Senior}
Person{userID='17'| firstName='Nannie'| lastName='Stupka'| email='nannies+student+academy@chalk.com'| role=Student_Senior}
Person{userID='18'| firstName='Emile'| lastName='Rincon'| email='emiler+student+academy@chalk.com'| role=Student_Senior}
Person{userID='19'| firstName='Zeneida'| lastName='Hotard'| email='zeneidah+student+academy@chalk.com'| role=Student_Senior}
Person{userID='20'| firstName='Lenora'| lastName='Speights'| email='lenoras+student+academy@chalk.com'| role=Student_Senior}
